company_name,company_link,page
Bank Albilad ٨ٟ؎ ٧ؖبٖاؿ,/companies/profile/bank-albilad-yyuye-yynyynyy-1/,11
King Saud Bin Abdulaziz University For Health Sciences,/companies/profile/king-saud-bin-abdulaziz-university-for-health-sciences-1/,11
GendarmeríA De Chile,/companies/profile/gendarmera-de-chile-1/,11
Thyssenkrupp Elevadores S/A,/companies/profile/thyssenkrupp-elevadores-sa-2/,11
Umm Al-Qura University,/companies/profile/umm-al-qura-university-1/,11
Panda Retail Company – Savola Group,/companies/profile/panda-retail-company-ai-savola-group-1/,11
King Khalid University,/companies/profile/king-khalid-university-1/,11
,/,11
Dar Al Riyadh Group,/companies/profile/dar-al-riyadh-group-1/,12
Savola Group,/companies/profile/savola-group-1/,12
Stc Solutions,/companies/profile/stc-solutions-1/,12
Zain Ksa,/companies/profile/zain-ksa-1/,12
Faculdade Santa Lucia,/companies/profile/faculdade-santa-lucia-1/,12
"Ministry Of Education, Saudi Arabia",/companies/profile/ministry-of-education-saudi-arabia/,12
Saudi Aramco Total Refining And Petrochemical Company (Satorp),/companies/profile/saudi-aramco-total-refining-and-petrochemical-company-satorp/,12
Ministry Of Home Affairs,/companies/profile/ministry-of-home-affairs/,12
Raytheon Technical Services Company,/companies/profile/raytheon-technical-services-company-1/,12
Saudi Hollandi Bank,/companies/profile/saudi-hollandi-bank-1/,12
,/,12
Bae Systems Saudi Arabia,/companies/profile/bae-systems-saudi-arabia/,13
North West Education Department,/companies/profile/north-west-education-department/,13
King Fahad Specialist Hospital Dammam,/companies/profile/king-fahad-specialist-hospital-dammam/,13
Advisian,/companies/profile/advisian-2/,13
Alok Industries Ltd,/companies/profile/alok-industries-ltd-2/,13
Arabian Bemco Contracting Co,/companies/profile/arabian-bemco-contracting-co/,13
Bupa Arabia,/companies/profile/bupa-arabia/,13
King Faisal University,/companies/profile/king-faisal-university/,13
Advocate Illinois Masonic Medical Center,/companies/profile/advocate-illinois-masonic-medical-center-1/,13
Advanced Electronics Company,/companies/profile/advanced-electronics-company-1/,13
,/,13
Alinma Bank,/companies/profile/alinma-bank-1/,14
Bank Al Jazira,/companies/profile/bank-al-jazira-1/,14
Islamic Development Bank (Idb),/companies/profile/islamic-development-bank-idb/,14
Tawuniya,/companies/profile/tawuniya/,14
Aramco Overseas Company,/companies/profile/aramco-overseas-company-1/,14
Saudi German Hospitals Group,/companies/profile/saudi-german-hospitals-group/,14
Carsat,/companies/profile/carsat/,14
Sipchem,/companies/profile/sipchem/,14
Nasser S Al- Hajri Corporration,/companies/profile/nasser-s-al-hajri-corporration/,14
Nextel,/companies/profile/nextel-3/,14
,/,14
Tasnee,/companies/profile/tasnee-2/,15
Alsalam Aircraft Company,/companies/profile/alsalam-aircraft-company/,15
Ministry Of Foreign Affairs,/companies/profile/ministry-of-foreign-affairs-1/,15
Fawaz Alhokair Group,/companies/profile/fawaz-alhokair-group/,15
Saudi Food & Drug Authority,/companies/profile/saudi-food-drug-authority/,15
Nadec,/companies/profile/nadec/,15
International Medical Center,/companies/profile/international-medical-center-1/,15
Saudi Arabian Monetary Agency - Sama,/companies/profile/saudi-arabian-monetary-agency-sama/,15
Abv Rock Group,/companies/profile/abv-rock-group/,15
Spimaco,/companies/profile/spimaco/,15
,/,15
Johns Hopkins Aramco Healthcare (Jhah),/companies/profile/johns-hopkins-aramco-healthcare-jhah/,16
"Security Forces Hospital ,Riyadh",/companies/profile/security-forces-hospital-riyadh/,16
Al-Imam Muhammad Ibn Saud Islamic University,/companies/profile/al-imam-muhammad-ibn-saud-islamic-university/,16
Vinnell Arabia,/companies/profile/vinnell-arabia/,16
Saudi Arabian Airlines Ground Services,/companies/profile/saudi-arabian-airlines-ground-services/,16
Isam Kabbani & Partners,/companies/profile/isam-kabbani-partners/,16
